movie_id,title,runtime,rating_encoded,is_korean,genre,open_date,open_month,open_day_of_week,is_summer,is_winter,is_holiday_release,holiday_nearby_count,director_avg_audi,director_movie_count,lead_actor_avg_audi,lead_actor_movie_count,cast_max_star_power,distributor_avg_audi,distributor_movie_count,producer_avg_audi,producer_movie_count,same_week_releases,market_avg_audi_7d,trend_pre7_avg,trend_pre7_max,trend_growth_rate,relative_search_share,has_trend_data,total_audience,log_audience,hit_class
19398001,오즈의 마법사,112.0,0.0,0.0,가족,2012-05-03,5.0,3.0,0,0,0,0,0.0,0,0.0,0,0.0,1031592.9545454546,44,0.0,0,1,564292.7142857143,0.0,0.0,0.0,0.0,0,11188,9.322686431807721,0
19720061,정무문,106.0,2.0,0.0,액션,1973-07-27,7.0,4.0,1,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,378225.85714285716,0.0,0.0,0.0,0.0,0,9528,9.162095059348188,0
19818004,불의 전차,123.0,1.0,0.0,드라마,2016-06-16,6.0,3.0,0,0,0,0,0.0,0,0.0,0,0.0,156278.75,8,0.0,0,0,587183.2857142857,5.632857142857143,9.02,2.8743955483196855,0.033952435404322155,1,44957,10.713483999592366,0
19820019,만추,113.0,2.0,1.0,멜로/로맨스,2011-02-17,2.0,3.0,0,0,0,0,0.0,0,1914867.0,0,1914867.0,0.0,0,425427.0,1,3,350517.28571428574,0.0,0.0,0.0,0.0,0,852863,13.656355376482153,0
19838068,해탄적일천,166.0,1.0,0.0,드라마,2022-01-06,1.0,3.0,0,1,0,0,1971.0,1,0.0,0,0.0,427417.0,2,0.0,0,3,241322.85714285713,0.8957142857142857,1.64,3.1355225870978494,0.0053292374277879,1,2294,7.738488122494646,0
19870150,탑건,109.0,1.0,0.0,액션,1987-12-19,12.0,5.0,0,1,0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,378225.85714285716,0.0,0.0,0.0,0.0,0,19346,9.870292647678488,0
19880001,이웃집 토토로,87.0,0.0,0.0,애니메이션,2001-07-28,7.0,5.0,1,0,0,0,53209.0,1,0.0,0,0.0,85599.0,2,0.0,0,0,378225.85714285716,0.0,0.0,0.0,0.0,0,155441,11.954027950669524,0
19888010,시네마 천국,124.0,0.0,0.0,드라마,1990-07-07,7.0,5.0,1,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,378225.85714285716,0.0,0.0,0.0,0.0,0,72263,11.18808135882968,0
19890291,해리가 샐리를 만났을 때,95.0,3.0,0.0,코미디,1989-11-18,11.0,5.0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,378225.85714285716,0.0,0.0,0.0,0.0,0,16098,9.686512437242294,0
19900204,죽은 시인의 사회,128.0,0.0,0.0,드라마,1990-05-19,5.0,5.0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,378225.85714285716,0.0,0.0,0.0,0.0,0,74095,11.213116828720533,0
19900335,사랑과 영혼,126.0,2.0,0.0,드라마,1990-11-24,11.0,5.0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,378225.85714285716,0.0,0.0,0.0,0.0,0,14097,9.553788222333822,0
