movie_id,title,runtime,rating_encoded,is_korean,genre,open_month,open_day_of_week,is_summer,is_winter,is_holiday_release,holiday_nearby_count,director_avg_audi,director_movie_count,lead_actor_avg_audi,lead_actor_movie_count,cast_max_star_power,distributor_avg_audi,distributor_movie_count,producer_avg_audi,producer_movie_count,same_week_releases,market_avg_audi_7d,total_audience,log_audience,hit_class
20218391,보스 베이비 2,107.0,0,0,애니메이션,7.0,2.0,1,0,0,0,2443328.0,1,2746579.0833333335,2,3520566.0,1041776.490909091,55,0.0,0,7,222931.14285714287,919925,13.732048511007564,1
20218567,아이스 로드,109.0,1,0,스릴러,7.0,2.0,1,0,0,0,0.0,0,769394.9242424242,5,1831519.5,194257.35593220338,59,0.0,0,7,222931.14285714287,26210,10.173934448966204,0
20218647,액션히어로,90.0,1,1,액션,7.0,2.0,1,0,0,0,861.0,1,3983634.095238095,6,7405890.0,22766.11111111111,9,0.0,0,7,222931.14285714287,1517,7.325148957955575,0
20204117,모가디슈,121.0,2,1,액션,7.0,2.0,1,0,0,0,6590337.0,1,6649480.111111111,1,9407840.0,0.0,0,4102940.0,6,2,171919.7142857143,3611510,15.099636802294235,2
20218420,은혼 더 파이널,103.0,2,0,애니메이션,7.0,3.0,1,0,0,0,0.0,0,0.0,0,0.0,998213.0,5,0.0,0,7,208992.57142857142,30644,10.330224795919833,0
20135464,마세티 킬즈,107.0,3,0,코미디,11.0,3.0,0,0,0,0,0.0,0,859337.0,0,859337.0,91135.44444444444,9,0.0,0,0,305076.0714285714,7129,8.872066513408342,0
20218349,정글 크루즈,127.0,1,0,액션,7.0,2.0,1,0,0,0,264304.0,1,809951.8095238096,5,2101680.4285714286,2752583.064516129,62,0.0,0,2,171919.7142857143,250883,12.432745959894628,1
20192986,프리 가이,115.0,1,0,액션,8.0,2.0,1,0,0,1,0.0,0,1755092.8928571427,3,2474185.5,2712873.5396825396,63,0.0,0,1,220777.14285714287,309036,12.641216289811814,1
20217845,더 수어사이드 스쿼드,131.0,3,0,액션,8.0,2.0,1,0,0,0,2029342.0,2,1367098.6944444445,3,2328114.25,1506945.8461538462,78,0.0,0,3,268782.14285714284,414471,12.93476070000921,1
20209518,"우리, 둘",95.0,1,0,드라마,7.0,2.0,1,0,0,0,0.0,0,0.0,0,0.0,46837.8,15,0.0,0,2,171919.7142857143,1913,7.5569505720129,0
20168708,피닉스,98.0,1,0,드라마,7.0,3.0,1,0,0,0,0.0,0,0.0,0,0.0,3534.5,2,0.0,0,7,208992.57142857142,6392,8.762958920766726,0
20196270,싱크홀,113.0,1,1,코미디,8.0,2.0,1,0,0,1,2617410.1666666665,6,6986012.622222222,4,8179597.2,0.0,0,1626857.0,1,1,220777.14285714287,2194102,14.601283864932329,2
20218653,귀문,85.0,2,1,미스터리,8.0,2.0,1,0,0,0,0.0,0,6619898.833333333,2,12166659.0,103570.66666666667,3,1702318.5,2,4,261281.14285714287,90721,11.415555164573952,0
20218815,블랙핑크 더 무비,99.0,0,1,공연,8.0,2.0,1,0,0,0,11057.0,2,0.0,0,0.0,471641.1666666667,6,0.0,0,3,268782.14285714284,13199,9.487972108574462,0
20218834,그린 나이트,129.0,2,0,어드벤처,8.0,3.0,1,0,0,0,0.0,0,208566.1388888889,3,420065.6666666667,0.0,0,0.0,0,3,265058.28571428574,27554,10.223939286317336,0
20218875,극장판 도라에몽: 진구의 신공룡,110.0,0,0,애니메이션,8.0,3.0,1,0,0,0,151095.0,1,405842.35185185185,8,698701.0,0.0,0,0.0,0,3,265058.28571428574,61417,11.025458230781473,0
20216050,팜 스프링스,90.0,2,0,코미디,8.0,3.0,1,0,0,1,0.0,0,1273418.7,2,1490008.4,172277.44,50,0.0,0,5,316371.28571428574,4095,8.317766166719343,0
20217947,웬디,111.0,1,0,드라마,6.0,2.0,0,0,0,0,0.0,0,0.0,0,0.0,31420.470588235294,17,0.0,0,0,179818.85714285713,6473,8.775549434486189,0
20192194,인질,93.0,2,1,액션,8.0,2.0,1,0,0,1,0.0,0,8834638.166666666,2,9407840.0,0.0,0,4032735.714285714,7,5,320235.0,1634819,14.307043264509831,2
20194980,박강아름 결혼하다,86.0,0,1,다큐멘터리,8.0,3.0,1,0,0,1,0.0,0,3043074.225396825,6,3905758.3333333335,30034.5,18,0.0,0,5,316371.28571428574,891,6.79346613258001,0
20218904,코다,111.0,1,0,드라마,8.0,1.0,1,0,0,0,0.0,0,0.0,0,0.0,317612.23529411765,34,0.0,0,2,182128.2857142857,74880,11.223655465763155,0
20021031,남색대문,83.0,1,0,드라마,8.0,2.0,1,0,0,1,0.0,0,0.0,0,0.0,107472.07142857143,14,0.0,0,5,320235.0,7174,8.878358040627822,0
